type,country,species,injury,date,sex,fatal
Unprovoked,SOUTH AFRICA,Raggedtooth shark,left buttock  & legs lacerated,25-May-2005,M,False
Unprovoked,AUSTRALIA,Blacktip shark,severe injury to lower leg,15-May-2005,M ,False
Unprovoked,MADAGASCAR,2.5 m shark,thigh bitten,03-May-2005,M,False
Sea Disaster,USA,White shark,no injury,02-May-2005,M,False
Unprovoked,USA,"Tiger shark, 3 m [10']","no injury, board damaged",02-May-2005,M,False
Provoked,AUSTRALIA,"Mako shark, 1.5 m [5'] ",laceration on left thigh provoked incident,25-Apr-2005,M,False
Unprovoked,AUSTRALIA,2 m [6.75'] copper shark,minor cuts above his right eye,16-Apr-2005,M,False
Unprovoked,AUSTRALIA,Bronze whaler shark,"no injury, board bitten",16-Apr-2005,M,False
Unprovoked,USA,1.8 m [6'] blacktip shark,right lower leg bitten,13-Apr-2005,F,False
Invalid,USA,Shark involvement not confirmed,foot injured,09-Apr-2005,M,False
Unprovoked,USA,White shark,left foot bitten,07-Apr-2005,M,False
Unprovoked,USA,small hammerhead shark,left calf injured,06-Apr-2005,F,False
Invalid,HONDURAS,Shark involvement not confirmed,"laceration on siide of calf, small laceration on thigh, large bruise on other leg inside the knee, knuckle of hand abraded",06-Apr-2005,F,False
Unprovoked,SOUTH AFRICA,4 m [13'] shark,"lacerations to right calf, puncture wounds on right foot",28-Mar-2005,M,False
Unprovoked,AUSTRALIA,White shark,"no injury, shark rammed surfboard",Reported    27-Mar-2005,M,False
Unprovoked,VENEZUELA,White shark,right leg bitten,25-Mar-2005,M,False
Unprovoked,AUSTRALIA,6 m [20'] white shark,fatal,19-Mar-2005,M,True
Provoked,USA,"Sandtiger shark, 2.1 m [7'] ",2 punctures on forearm as captive shark collided with diver provoked incident,12-Mar-2005,M,False
Invalid,SOUTH AFRICA,Invalid,bites by 2.5 m tiger shark were post mortem,10-Mar-2005,M,False
Provoked,NEW ZEALAND,"Bronze whaler shark, 4.3 m [14'] ","no injury, netted shark dragged them 350 metres out to sea provoked incident",09-Mar-2005,M,False
Unprovoked,SOLOMON ISLANDS,White shark,thighs bitten,05-Mar-2005,M,False
Unprovoked,AUSTRALIA,Bull shark,finger bitten,26-Feb-2005,M,False
Provoked,USA,"Nurse shark, 3' ",speared shark bit his chest provoked incident,22-Feb-2005,M,False
Unprovoked,USA,"Tiger shark, 2.4 m [8']","no injury, knocked off board, shark bit board",16-Feb-2005,M,False
Unprovoked,USA,1.8 m [6'] Caribbean reef shark,hand bitten,13-Feb-2005,M,False
Unprovoked,BRAZIL,White shark,right thigh & ankle injured,04-Feb-2005,M,False
Unprovoked,CUBA,3 m [10'] shark,left foot severed,20-Jan-2005,M,False
Provoked,AUSTRALIA,3 m shark,no injury. towed by speared shark provoked incident,19-Jan-2005,M,False
Watercraft,NEW ZEALAND,White shark,"no injury, kayak bumped repeatedly",08-Jan-2005,M,False
Invalid,SRI LANKA,No shark involvement,no injury,26-Dec-2004,F,False
Unprovoked,AUSTRALIA,4.5 m & 5 m white shark ,fatal,16-Dec-2004,M,True
Unprovoked,AUSTRALIA,Bull shark,"fatal, leg bitten",11-Dec-2004,M,True
Unprovoked,SOUTH AFRICA,Raggedtooth shark,3 lacerations on foot,27-Nov-2004,M,False
Unprovoked,SOUTH AFRICA,Raggedtooth shark,lacerations on lower leg & foot,26-Nov-2004,M,False
Unprovoked,SOUTH AFRICA,6 m [20'] white shark,fatal,15-Nov-2004,F,True
Unprovoked,USA,5.5 m [18'] white shark,"lacerations to hand, knee & thigh",11-Nov-2004,lli,False
Unprovoked,VANUATU,White shark,thigh bitten,11-Nov-2004,M,False
Unprovoked,CUBA,2.5 m [8.25'] bull shark,left forearm bitten,31-Oct-2004,M,False
Unprovoked,SOUTH AFRICA,2 m [6.75'] white shark,right ankle & foot lacerated,30-Oct-2004,M,False
Unprovoked,AUSTRALIA,"Bronze whaler shark, 2.4 m [8'] ",right foot lacerated,21-Oct-2004,M,False
Unprovoked,USA,1.8 m to 2.4 m [6' to 8'] white shark,lower leg bitten,10-Oct-2004,M,False
Unprovoked,USA,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",left shoulder bitten,09-Oct-2004,M,False
Unprovoked,SOUTH AFRICA,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",puncture wounds on right foot,09-Oct-2004,M,False
Unprovoked,REUNION,Thought to involve a 2.5 m bull or tiger shark,"leg severely bitten, surgically amputated",06-Oct-2004,M,False
Unprovoked,USA,White shark,"no injury, knocked off surfboard",02-Oct-2004,M,False
Unprovoked,USA,White shark,"no injury, shark struck board & spun it around",01-Oct-2004,M,False
Unprovoked,USA,White shark,leg bitten,20-Sep-2004,M,False
Invalid,USA,Shark involvement questionable,minor scratch on calf,10-Sep-2004,M,False
Unprovoked,USA,2.4 m [8'] shark,left knee & leg bitten,04-Sep-2004,F,False
Unprovoked,USA,White shark,heel bitten,29-Aug-2004,F,False
Unprovoked,BRAZIL,"Tiger shark, 1.5 m ",calf bitten & both hands injured,21-Aug-2004,M,False
Unprovoked,USA,0.9 m to 1.2 m [3' to 4'] white shark,foot bitten,20-Aug-2004,M,False
Unprovoked,USA,4.9 m to 5.5 m [16' to 18'] white shark,fatal,15-Aug-2004,M,True
Unprovoked,USA,1.2 m [4'] shark,"back, buttocks, left hand & left side of face bitten",06-Aug-2004,M,False
Unprovoked,AUSTRALIA,White shark,minor puncture wounds to leg,03-Aug-2004,M,False
Unprovoked,USA,White shark,right foot bitten,31-Jul-2004,F,False
Unprovoked,RUSSIA,White shark,thigh & calf bitten,30-Jul-2004,M,False
Unprovoked,USA,White shark,right calf bitten,28-Jul-2004,F,False
Unprovoked,USA,1.8 m [6'] shark,right forearm & wrist lacerated,27-Jul-2004,F,False
Unprovoked,USA,1.2 m to 1.5 m [4' to 5'] shark,right foot bitten,27-Jul-2004,F,False
Unprovoked,USA,Bull shark,right forearm nearly severed and bites above & below the right knee,25-Jul-2004,M,False
Unprovoked,JAPAN,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] ",suffered broken ribs when the shark's tail fin slammed into his chest,15-Jul-2004 ,M,False
Unprovoked,AUSTRALIA,"2 sharks, 4.5 m & 3 m ","fatal, abdomen, pelvis & leg bitten",10-Jul-2004,M,True
Unprovoked,EGYPT,"""black tipped"" shark",hand severed,02-Jul-2004,F,False
Unprovoked,USA,4' to 5' shark,right foot lacerated,02-Jul-2004,M,False
Unprovoked,USA,"9'2"" white shark","no injury, shark struck his board",26-Jun-2004,M,False
Invalid,AUSTRALIA,Invalid,"no injury, shark made threat displays & diver fended it off with his speargun",26-Jun-2004,M,False
Unprovoked,USA,White shark,foot bitten,14-Jun-2004,F,False
Unprovoked,AUSTRALIA,"Bronze whaler shark, 2.5 m [8.25'] ",ankle & foot lacerated,10-Jun-2004,M,False
Unprovoked,USA,1.2 m [4'] shark,right wrist  & left arm lacerated,10-Jun-2004,M,False
Unprovoked,SOUTH AFRICA,White shark,"fatal, leg severed",02-Jun-2004,M,True
Unprovoked,USA,0.9 m to 1.5 m [3' to 5'] shark,puncture wounds on shin,29-May-2004,M,False
Unprovoked,BRAZIL,Bull shark,"left hand, foot severed &  left calf & arm bitten",23-May-2004,M,False
Unprovoked,USA,2.4 m to 3.7 m [8' to 12'] shark,no injury,28-May-2004,M,False
Unprovoked,USA,White shark,calf & foot lacerated,23-May-2004,M,False
Invalid,USA,Shark involvement not confirmed,single puncture wound on the foot,22-May-2004,M,False
Unprovoked,USA,White shark,foot bitten,22-May-2004,F,False
Unprovoked,BRAZIL,White shark,hips & thighs bitten,22-May-2004,F,False
Provoked,BAHAMAS,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",left forearm bitten provoked incident,18-May-2004,M,False
Unprovoked,USA,"Mako shark, 1.8 m [6']","no injury, board bitten",04-May-2004,M,False
Unprovoked,BRAZIL,White shark,fatal,01-May-2004,M,True
Unprovoked,AUSTRALIA,"Wobbegong shark, 1.2 m [4'] k",puncture wounds on wrist,26-Apr-2004,M,False
Unprovoked, TONGA,small sharks,"bitten on feet, legs, back & abdomen but survived.  survivors rescued after  7.5 hours in the water",13-Apr-2004,M,False
Invalid, TONGA,Questionable Incident,"he was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",13-Apr-2004,M,False
Unprovoked,USA,Tiger shark,fatal severe wound to right thigh & calf,07-Apr-2004,M,True
Unprovoked,SOUTH AFRICA,5 m [16.5'] white shark,"left leg lacerated, right leg severed above the knee",05-Apr-2004,M,False
Invalid,USA,Shark involvement prior to death was not confirmed,"disappeared, surfboard washed ashore, marks on leash suggested shark involvement",04-Apr-2004,F,False
Unprovoked,USA,White shark,right foot bitten,31-Mar-2004,M,False
Unprovoked,USA,1.2 m [4'] bull shark,15 puncture wounds on foot,31-Mar-2004,M,False
Unprovoked,BRAZIL,bull shark,"lower left leg bitten, surgically amputated",29-Mar-2004,M,False
Unprovoked,USA,bull shark,heel bitten,28-Mar-2004,M,False
Unprovoked,REUNION,2.5 m shark,right thigh bitten,27-Mar-2004,M,False
Unprovoked,USA,White shark,minor lacerations & abrasions on forearm,27-Mar-2004,M,False
Unprovoked,USA,1.8 m [6'] shark,lacerations to left foot,14-Mar-2004,F,False
Unprovoked,NEW ZEALAND,Bronze whaler shark,no injury,22-Mar-2004,M,False
Unprovoked,USA,"Tiger shark, 2.4 m to 3 m [8' to 10'] ","no injury, board bitten",16-Mar-2004,M,False
Unprovoked,AUSTRALIA,"Bronze whaler shark, 1.5 m [5'] ",shin & calf bitten,06-Mar-2004,M,False
Unprovoked,BRAZIL,White shark,"fatal, right thigh & hip bitten",29-Feb-2004,M,True
Unprovoked,NEW ZEALAND,2 m [6.75'] sevengill  shark,thigh lacerated,26-Feb-2004,M,False
Unprovoked,AUSTRALIA,White shark,three toes lacerated,21-Feb-2004,M,False
Invalid,AUSTRALIA,Shark involvement not confirmed,"disappeared while diving, may have suffered shallow water blackout. searchers observed large tiger sharks & whaler sharks in the area",16-Feb-2004,M,False
Unprovoked,EGYPT,White shark,fatal,14-Feb-2004,M,True
Unprovoked,AUSTRALIA,"60 cm [23.6""] blind or brown shark",leg bitten,11-Feb-2004,M,False
Unprovoked,AUSTRALIA,4 m to 5 m [13' to 16.5'] white shark,left leg bitten,25-Jan-2004,M,False
Unprovoked,URUGUAY,Possibily a  1.5 to 2 m sandtiger shark,puncture wounds to dorsum of right foot,23-Jan-2004,M,False
Invalid,NEW ZEALAND,Shark involvement doubtful,"no injury, swim fin damaged",22-Jan-2004,M,False
Unprovoked,VENEZUELA,"Bull shark, 1.65 m [5'5""] was speared & killed",lower back & hand bitten,21-Jan-2004,M,False
Unprovoked,VENEZUELA,"Bull shark, 132-kg [291-lb] ",right leg bitten,21-Jan-2004,M,False
Watercraft,SOUTH AFRICA,"Mako shark, 3 m to 4 m [10' to 13'] ","no injury to occupants, stern of ski bitten",Reported 15-Jan-2004 ,M,False
Unprovoked,AUSTRALIA,"Raggedtooth shark, 3.5 m [11.5'] ","no injury, swim fin ripped off",12-Jan-2004,M,False
Unprovoked,SOUTH AFRICA,Raggedtooth shark,foot lacerated,07-Jan-2004,M,False
Invalid,NEW ZEALAND,Invalid,"no injury, no attack, shark took fish from back of kayak",03-Jan-2004,M,False
Unprovoked,AUSTRALIA,White shark,no inury,2004,M,False
Invalid,USA,Questionable Incident,knee lacerated,26-Dec-2003,M,False
Unprovoked,USA,White shark,foot bitten,13-Dec-2003,M,False
Unprovoked,NEW ZEALAND,White shark,fatal,13-Dec-2003,M,True
Unprovoked,AUSTRALIA,White shark,"no inury, shark caught leash attached to surfer's ankle & towed him a short distance",08-Dec-2003,M,False
Unprovoked,AUSTRALIA,"Wobbegong shark, 1.2 m [4'] ","after biting halverson, it bit scott's thigh",30-Nov-2003,M,False
Unprovoked,AUSTRALIA,"Wobbegong shark, 1.2 m [4'] ",hand & foot bitten,30-Nov-2003,M,False
Unprovoked,SOUTH AFRICA,"Tiger shark, 4 m [13']  ?","presumed fatal, severed hand recovered",27-Nov-2003,M,True
Unprovoked,USA,4' shark,severe abrasion to left lateral calf,22-Nov-2003,F,False
Unprovoked,INDIA,Tiger shark?,left index finger lacerated,12-Nov-2003 ,M,False
Unprovoked,USA,White shark,lacerations to hand,12-Nov-2003,M,False
Unprovoked,EGYPT,2.5 oceanic whitetip shark,hand/elbow injured,06-Nov-2003,M,False
Unprovoked,AUSTRALIA,White shark,minor lacerations to leg & foot,01-Nov-2003,M,False
Provoked,PANAMA,"Nurse shark, 60 cm to 90 cm [2' to 3'] ",left forearm bitten provoked incident,Nov-2003,M,False
Unprovoked,USA,1.2 m to 1.5 m [4' to 5'] shark,left foot (sole) bitten,31-Oct-2003,M,False
Unprovoked,AUSTRALIA,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",left ankle & foot lacerated,31-Oct-2003,M,False
Unprovoked,USA,"Tiger shark, 14' ",left arm severed below shoulder,31-Oct-2003,F,False
Unprovoked,USA,White shark,laceration on right ankle & heel,27-Oct-2003,M,False
Invalid,USA,Shark involvement not confirmed,left forearm lacerated,24-Oct-2003,M,False
Unprovoked,USA,1.2 m [4'] shark,foot bitten,14-Oct-2003,M,False
Invalid,USA,Shark involvement prior to death was not confirmed,"fatal, drowning or scavenging.  two hours later his body, with bite marks,  washed ashore.",06-Oct-2003,M,True
Unprovoked,USA,White shark,minor puncture wounds in hand,05-Oct-2003,F,False
Unprovoked,USA,White shark,5 to 6 lacerations on right foot & ankle,05-Oct-2003,M,False
Provoked,USA,White shark,left ankle bitten when he stepped on the shark provoked incident,05-Oct-2003,M,False
Unprovoked,USA,White shark,left foot bitten,05-Oct-2003,M,False
Unprovoked,USA,"1.2 m [4'] ""grey-colored shark""","left thigh abraded, right knee and right index finger injured",05-Oct-2003,F,False
Unprovoked,FIJI,White shark,fatal abdomen bitten,29-Sep-2003,M,True
Unprovoked,USA,White shark,arm lacerated,28-Sep-2003,M,False
Unprovoked,USA,White shark,left foot bitten,21-Sep-2003,M,False
Unprovoked,USA,White shark,left heel lacerated,19-Sep-2003,M,False
Unprovoked,USA,White shark,3 puncture wounds on left foot,17-Sep-2003,M,False
Unprovoked,USA,3' shark,left foot: lacerations on heel and sole,14-Sep-2003,M,False
Invalid,USA,Shark involvement doubtful,puncture wounds on inner thigh,14-Sep-2003,F,False
Unprovoked,USA,6' shark,left calf avulsion,13-Sep-2003,M,False
Unprovoked,USA,7' shark,ankle lacerated,13-Sep-2003,M,False
Unprovoked,SOUTH AFRICA,White shark,"fatal, left thigh, buttocks, back of spine, abdomen & chest bitten",12-Sep-2003,M,True
Unprovoked,USA,White shark,2 lacerations on each side of achilles tendon,Sep-2003,M,False
Provoked,USA,1.2 m [4'] bull shark,provoked incident hooked shark pulled onboard bit his arm,29-Aug-2003,M,False
Unprovoked,USA,4.5 m to 5.5 m [15' to 18'] white shark,"fatal          hip & upper thigh bitten, femoral artery severed",19-Aug-2003,F,True
Invalid,USA,Shark involvement not confirmed,left ankle lacerated,12-Aug-2003,M,False
Unprovoked,SOUTH AFRICA,3.5 m [11.5'] white shark,"no injury, wetsuit torn & board bitten",08-Aug-2003,M,False
Unprovoked,AUSTRALIA,White shark,"no injury, flung into water when shark bit rudder of ski",Reported 26-Jul-2003,M,False
Unprovoked,USA,White shark,laceration to little finger of  right hand,20-Jul-2003,M,False
Unprovoked,USA,White shark,heel & sole of left foot,15-Jul-2003,F,False
Unprovoked,BAHAMAS,Unidentified species,right thigh bitten,10-Jul-2003,M,False
Provoked,USA,2' shark,3 puncture wounds on right lateral ankle provoked incident,05-Jul-2003,M,False
Unprovoked,USA,1.5 m to 1.8 m [5' to 6'] shark,left foot bitten,05-Jul-2003,M,False
Unprovoked,BAHAMAS,2.1 m  [7'] bull shark,left calf bitten,04-Jul-2003,M,False
Unprovoked,USA,8' great hammerhead shark,laceration to toe,Jul-2003,M,False
Unprovoked,FRENCH POLYNESIA,White shark,leg bitten,Late Jul-2003,M,False
Unprovoked,NEW ZEALAND,Grey reef shark,chest & buttocks  bitten,Jul-2003,M,False
Unprovoked,USA,Unidentified species,right foot & toes lacerated,30-Jun-2003,M,False
Unprovoked,USA,106 cm [3.5']  shark,ankle lacerated,26-Jun-2003,M,False
Unprovoked,BRAZIL,White shark,fatal,24-Jun-2003,M,True
Unprovoked,USA,“small brown shark”,2 lacerations to the thigh,24-Jun-2003,F,False
Unprovoked,USA,3.7 m to 4.3 m [12' to 14'] shark,right foot bitten,24-Jun-2003,M,False
Unprovoked,USA,Unidentified species,left leg bitten,22-Jun-2003,M,False
Unprovoked,USA,"""sand shark""",hand bitten,19-Jun-2003,M,False
Invalid,USA,Shark involvement not confirmed,foot lacerated,Jun-2003,F,False
Unprovoked,USA,White shark,left foot lacerated,25-May-2003,M,False
Unprovoked,USA,3' to 5' shark,left foot bitten,14-May-2003,M,False
Unprovoked,USA,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,right calf & heel bitten,10-May-2003,M,False
Provoked,USA,4' to 5' shark,multiple bites to foot after jumping off surfboard onto shark provoked incident,07-May-2003,M,False
Unprovoked,USA,White shark,laceration to right lower leg,03-May-2003,F,False
Provoked,BRAZIL,White shark,shallow  lacerations to left  thigh provoked incident,26-Apr-2003,M,False
Unprovoked,BRAZIL,White shark,bitten on finger,25-Apr-2003,M,False
Unprovoked,BRAZIL,Bull shark,"hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",23-Apr-2003,M,False
Unprovoked,BRAZIL,White shark,right hand lacerated,23-Apr-2003,M,False
Unprovoked,USA,Unidentified species,right leg bitten,21-Apr-2003,M,False
Unprovoked,USA,Unidentified species,survived,21-Apr-2003,M,False
Unprovoked,USA,Unidentified species,left foot bitten,20-Apr-2003,M,False
Unprovoked,USA,0.9 m to 1.2 m [3' to 4'] shark,small lacerations to foot,20-Apr-2003,M,False
Unprovoked,USA,Unidentified species,left ankle bitten or right foot,20-Apr-2003,M,False
Unprovoked,USA,A “small” shark,left foot bitten,19-Apr-2003,M,False
Unprovoked,USA,Unidentified species,2 lacerations on left thigh,18-Apr-2003,M,False
Unprovoked,USA,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",left calf lacerated,15-Apr-2003,M,False
Unprovoked,VENEZUELA,"Mako shark, 3 m [10']","right foot bitten, left leg severed",11-Apr-2003,M,False
Unprovoked,USA,White shark,arm lacerated,09-Apr-2003,M,False
Unprovoked,USA,4' to 5' shark,left hand and wrist bitten,04-Apr-2003,M,False
Provoked,USA,60 cm [2'] captive shark,hand nipped provoked incident,10-Mar-2003,F,False
Unprovoked,NEW ZEALAND,2.5 m [8.25'] white shark,arm lacerated (shark made 3 strikes),27-Feb-2003,M,False
Unprovoked,AUSTRALIA,"""a small shark""",ankle lacerated,15-Feb-2003,M,False
Unprovoked,USA,Species unidentified,left hand bitten,15-Feb-2003,M,False
Unprovoked,AUSTRALIA,Thought to involve a 2 m [6.75'] grey nurse shark,"puncture wounds on heel, legs and buttocks",11-Feb-2003,M,False
Unprovoked,AUSTRALIA,Thought to involve a >2 m [6.75'] bull shark,fatal,08-Feb-2003,M,True
Invalid,SOUTH AFRICA,Shark involvement prior to death was not confirmed,probable scavenging. the boy disappeared while at the beach on january 1st. his decomposed shark-bitten body washed ashore january 17th,17-Jan-2003,M,False
Unprovoked,COSTA RICA,"Bull shark, 7'",lower right leg lacerated,03-Jan-2003,M,False
Unprovoked,AUSTRALIA,"Bronze whaler shark, 2.5 m [8.25'] ","no injury, but her surfboard was bitten",02-Jan-2003,F,False
